Feature,Importance
sysBP,0.13495839072171587
BMI,0.12670398213562473
totChol,0.12247721606954111
age,0.12188408077478835
glucose,0.1177348239361231
diaBP,0.1162208451502771
heartRate,0.09817295029137652
cigsPerDay,0.05029571770170718
education,0.04038277782798705
male,0.02050328476247366
prevalentHyp,0.018849047744767537
currentSmoker,0.011700323388060813
BPMeds,0.01004914997394155
diabetes,0.006449418620052777
prevalentStroke,0.0036179909015627326
