Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8443396226415094,0.4117647058823529,0.05426356589147287,0.0958904109589041
Random Forest,0.8419811320754716,0.3333333333333333,0.03875968992248062,0.06944444444444445
